Institution ID,Institution name,Country,Continent / Region,City,Group,Institution type,Primary domain,Protocol relevance,WPA relevance / status,Notes
B008,Saudi Arabia MOFA / Protocol School of Washington MOU,Saudi Arabia / USA,Middle East / North America,Saudi Arabia / USA,B,Government-protocol school cooperation,"Protocol training, diplomatic knowledge exchange",A,A,Secondary public evidence; official confirmation needed.
B009,"Diplomacy Academy, Ministry of Foreign Affairs of Türkiye",Türkiye,Middle East / Europe,Ankara,B,Government diplomatic academy,"Diplomacy, foreign policy, protocol rules, negotiation",A,A,Official protocol training evidence.
B010,École pratique des métiers de la diplomatie / France Diplomatie,France,Europe,France,B,Government diplomatic professional school,"Diplomatic professions, French foreign ministry training",B,A,Official France Diplomatie entry.
B011,"Diplomatic Academy, Hellenic Ministry of Foreign Affairs",Greece,Europe,Athens,B,Government diplomatic academy,"Diplomatic training, foreign affairs",B,A,To verify evidence details.
B012,Escuela Diplomática de España,Spain,Europe,Madrid,B,Government diplomatic academy,"Diplomatic training, foreign affairs",B,A,Official Spanish diplomatic academy.
B013,"Diplomatic Institute, Ministry of Foreign Affairs",Israel,Middle East,Israel,B,Government diplomatic institute,"Diplomacy, communication, foreign service training",B,A,To verify current official structure.
B014,Diplomatic Institute,Bahrain,Middle East,Bahrain,B,Government diplomatic institute,"Protocol, international relations, diplomacy",B,A,To verify current official structure.
B015,Diplomatic Institute,Morocco,Africa,Morocco,B,Government diplomatic institute,"Diplomacy, protocol, foreign affairs training",B,A,To verify current official structure.
B016,Institute of Diplomatic Studies,Egypt,Africa,Cairo,B,Government diplomatic institute,"Diplomatic training, protocol, foreign affairs",B,A,To verify current official structure.
B017,Diplomatic Academy / MFA Kosovo,Kosovo,Europe,Kosovo,B,Government diplomatic training structure,"Diplomacy, foreign affairs training",B,A,To verify official page.
C001,China Foreign Affairs University,China,Asia,Beijing,C,Foreign affairs university,"Diplomacy, international relations, international law, foreign affairs",B,A,Strong diplomacy and international law benchmark.
C002,Diplomatic Academy of the Russian Ministry of Foreign Affairs,Russia,Europe / Asia,Moscow,C,Diplomatic academy / higher education institution,"Diplomacy, international relations, international law, international security",B,A,MFA-linked higher education and advanced training.
C003,Italian Diplomatic Academy,Italy,Europe,Verona,C,Diplomatic academy / international relations institute,"International relations, diplomacy, international studies",B,A,Diplomatic training and international studies institution.
C004,CEDS - Centre d’Études Diplomatiques & Stratégiques,France,Europe,Paris,C,Diplomatic and strategic studies institution,"Diplomacy, strategic studies, international relations, security, protocol",A,A,Includes diplomatic protocol short course.
C005,"Fletcher School of Law and Diplomacy, Tufts University",USA,North America,Medford / Boston,C,School of law and diplomacy,"International relations, diplomacy, law, global affairs",B,A,Global prestige IR/diplomacy school.
C006,"Walsh School of Foreign Service, Georgetown University",USA,North America,"Washington, DC",C,School of foreign service,"Diplomacy, international relations, security",B,A,Global prestige benchmark.
C007,"Elliott School of International Affairs, George Washington University",USA,North America,"Washington, DC",C,School of international affairs,"International affairs, diplomacy, security",B,A,Global prestige benchmark.
C008,College of Europe,Belgium / Poland / Albania,Europe,Bruges / Natolin / Tirana,C,European studies postgraduate institution,"European studies, diplomacy, communication, governance",C,A,European affairs benchmark.
C009,Clingendael Institute,Netherlands,Europe,The Hague,C,International relations and diplomacy institute,"Diplomacy, negotiations, international relations",B,A,Strong diplomacy and negotiation benchmark.
C010,Geneva Graduate Institute,Switzerland,Europe,Geneva,C,Graduate institute,"International relations, international law, development, global governance",B,A,Benchmark for international studies.
C011,Sciences Po / Paris School of International Affairs,France,Europe,Paris,C,International affairs school,"Diplomacy, communication, European policy, security",B,A,Global prestige benchmark.
C012,SOAS Centre for International Studies and Diplomacy,United Kingdom,Europe,London,C,International studies and diplomacy centre,"Diplomacy, international studies, governance",B,A,To verify current programme status.
C013,University of Leicester / Centre for Politics and Diplomatic Studies,United Kingdom,Europe,Leicester,C,University department / centre,"Politics, diplomacy, international relations",C,B,To verify current structure.
C014,Balsillie School of International Affairs,Canada,North America,Waterloo,C,School of international affairs,"Global governance, international affairs, security",C,A,Relevant North American benchmark.
C015,"Asia-Pacific College of Diplomacy, ANU",Australia,Oceania,Canberra,C,Diplomacy college,"Diplomacy, international relations, security",B,A,Strong diplomacy benchmark.
C016,ADA University / Azerbaijan Diplomatic Academy,Azerbaijan,Asia,Baku,C,University / diplomatic academy origin,"Diplomacy, international affairs, public policy",B,A,Strong regional diplomacy institution.
C017,International Relations Institute of Cameroon / IRIC,Cameroon,Africa,Yaounde,C,International relations institute,"Diplomacy, international relations",B,A,Important African diplomatic training institution.
D001,Foreign Service Institute / National Foreign Affairs Training Center,USA,North America,Arlington,D,Foreign service institute,"Diplomatic training, foreign service, protocol, language",B,A,Official US foreign affairs training centre.
D002,Instituto del Servicio Exterior de la Nación / ISEN,Argentina,South America,Buenos Aires,D,Foreign service institute,"Diplomacy, foreign service training",B,A,Official Argentine diplomatic training.
D003,Academia Diplomática de Chile Andrés Bello,Chile,South America,Santiago,D,Diplomatic academy,"Diplomacy, communication, foreign service training",B,A,Official Chilean diplomatic academy.
D004,Instituto Rio Branco,Brazil,South America,Brasília,D,Diplomatic academy,"Diplomacy, protocol, international relations",B,A,Prestigious Brazilian diplomatic academy.
D005,Academia Diplomática del Perú Javier Pérez de Cuéllar,Peru,South America,Lima,D,Diplomatic academy,"Diplomacy, foreign service training",B,A,Official Peruvian diplomatic academy.
D006,Foreign Service Institute of India,India,Asia,New Delhi,D,Foreign service institute,"Diplomacy, international relations, foreign service",B,A,Official Indian diplomatic training institution.
D007,Foreign Service Academy,Bangladesh,Asia,Dhaka,D,Foreign service academy,"Diplomatic training, foreign service",B,A,Official diplomatic training entry.
D008,Institute of Diplomacy and Foreign Relations / IDFR,Malaysia,Asia,Kuala Lumpur,D,Diplomatic institute,"Diplomacy, international relations, foreign service training",B,A,Official Malaysian diplomatic training institution.
D009,Foreign Service Institute,Philippines,Asia,Manila,D,Foreign service institute,"Diplomatic training, foreign policy, public diplomacy",B,A,Official Philippines FSI.
D010,Foreign Service Training Institute,Japan,Asia,Japan,D,Foreign service training institute,"Diplomacy, foreign service training",B,A,To verify current official structure.
D011,Bandaranaike International Diplomatic Training Institute,Sri Lanka,Asia,Colombo,D,Diplomatic training institute,"Diplomatic training, foreign service, protocol",B,A,Important South Asian diplomatic institute.
D012,Devawongse Varopakarn Institute of Foreign Affairs,Thailand,Asia,Bangkok,D,Foreign affairs institute,"Diplomacy, foreign service training",B,A,Official Thai diplomatic training institution.
D013,Korea National Diplomatic Academy / IFANS,South Korea,Asia,Seoul,D,National diplomatic academy,"Diplomatic training, foreign policy research",B,A,Official Korean diplomatic academy.
G001,USC Annenberg School for Communication and Journalism,USA,North America,Los Angeles,G,Communication and journalism school,"Public relations, strategic communication, journalism",C,A,Strong communication and PR benchmark.
G002,NYU School of Professional Studies - Public Relations and Corporate Communication,USA,North America,New York,G,Professional studies school,"Public relations, corporate communication, crisis communication",C,A,PR/corporate communication benchmark.
G003,University of Florida College of Journalism and Communications,USA,North America,Gainesville,G,Journalism and communications college,"Public relations, communication research, journalism",C,A,Strong PR education relevance.
G004,Leeds Beckett University,United Kingdom,Europe,Leeds,G,University,Public relations and communication programmes,D,B,PR/communication relevance.
G005,Newcastle University,United Kingdom,Europe,Newcastle,G,University,"Communication, media, PR",D,B,To verify programme details.
G006,Queensland University of Technology / QUT,Australia,Oceania,Brisbane,G,University,"PR, media studies, communication",D,A,Communication/PR benchmark.
G007,Curtin University,Australia,Oceania,Perth,G,University,"Communication, media studies, public relations",D,B,Communication relevance.
G008,University of Amsterdam,Netherlands,Europe,Amsterdam,G,University,"Communication science, media studies",D,A,Strong communication science benchmark.
G009,Nanyang Technological University / Wee Kim Wee School,Singapore,Asia,Singapore,G,Communication school,"Communication, public relations, media studies",D,A,Strong Asian communication benchmark.
G010,Hong Kong Baptist University / Communication Studies,Hong Kong,Asia,Hong Kong,G,University / communication school,"Media, communication, PR studies",D,A,Communication and media studies benchmark.
G011,Institute of Communication Studies / ICS,North Macedonia,Europe,Skopje,G,Communication studies institute,"Public communication, media, communication studies",D,B,Regional communication institution.
H001,Naval Postgraduate School,USA,North America,Monterey,H,Security and defence graduate institution,"National security, cyber security, defence studies",D,A,Security/defence benchmark.
H002,Georgetown University Security Studies Program,USA,North America,"Washington, DC",H,Security studies programme,"International security, national security, defence policy",D,A,Top security studies benchmark.
H003,George Washington University Elliott School - Security Studies,USA,North America,"Washington, DC",H,International affairs school,"Security studies, international affairs",D,A,Security and international affairs benchmark.
H004,King’s College London Department of War Studies,United Kingdom,Europe,London,H,War and security studies department,"Security, strategy, conflict, war studies",D,A,Global security/strategy benchmark.
H005,Sciences Po - International Security programmes,France,Europe,Paris,H,International affairs school,"International security, diplomacy, policy",D,A,Security/diplomacy benchmark.
H006,Norwegian Defence University College,Norway,Europe,Norway,H,Defence university college,"Military sciences, security, defence studies",D,A,Defence education benchmark.
H007,National Defence University of Pakistan,Pakistan,Asia,Islamabad,H,Defence university,Security and strategic studies,D,B,Security/strategic studies relevance.
H008,Jawaharlal Nehru University - International Relations and Security Studies,India,Asia,New Delhi,H,University / international studies centre,"International relations, security studies",D,A,Indian IR/security benchmark.
H009,ANU Strategic and Defence Studies Centre,Australia,Oceania,Canberra,H,Strategic and defence studies centre,"Security, defence, strategy",D,A,Strong Asia-Pacific security benchmark.
I001,Georgetown University / Walsh School of Foreign Service,USA,North America,"Washington, DC",I,Global prestige benchmark,"Diplomacy, international relations, security",B,A,Global prestige benchmark; not a protocol academy.
I002,Johns Hopkins University / SAIS,USA,North America,"Washington, DC / Bologna / Nanjing",I,Global prestige benchmark,"International relations, global politics, economics",C,A,Global prestige benchmark.
I003,Harvard Kennedy School,USA,North America,Cambridge,I,Global prestige benchmark,"Public policy, communication, security",D,A,Global benchmark; not a protocol academy.
I004,London School of Economics and Political Science / LSE,United Kingdom,Europe,London,I,Global prestige benchmark,"Diplomacy, IR, politics, public policy",D,A,Global prestige benchmark.
I005,University of Oxford / Blavatnik School of Government,United Kingdom,Europe,Oxford,I,Global prestige benchmark,"Public policy, governance, international relations",D,A,Global benchmark.
I006,King’s College London / Department of War Studies,United Kingdom,Europe,London,I,Global prestige benchmark,Security and strategy,D,A,Also H004; benchmark layer.
I007,Sciences Po / PSIA,France,Europe,Paris,I,Global prestige benchmark,"Diplomacy, communication, European policy",D,A,Also C011/H005; benchmark layer.
I008,Diplomatic Academy of Vienna,Austria,Europe,Vienna,I,Global prestige benchmark,"Diplomacy, international relations, protocol",B,A,Also B006; benchmark layer.
I009,College of Europe,Belgium / Poland / Albania,Europe,Bruges / Natolin / Tirana,I,Global prestige benchmark,European studies and communication,C,A,Also C008; benchmark layer.
I010,Clingendael Institute,Netherlands,Europe,The Hague,I,Global prestige benchmark,Diplomacy and negotiation,C,A,Also C009; benchmark layer.
I011,USC Annenberg,USA,North America,Los Angeles,I,Global prestige benchmark,Public relations and communication,D,A,Also G001.
I012,NYU SPS,USA,North America,New York,I,Global prestige benchmark,Corporate communication and PR,D,A,Also G002.
I013,ANU Asia-Pacific College of Diplomacy,Australia,Oceania,Canberra,I,Global prestige benchmark,Diplomacy and security,C,A,Also C015.
I014,ANU Strategic and Defence Studies Centre,Australia,Oceania,Canberra,I,Global prestige benchmark,Security and defence,D,A,Also H009.
I015,Instituto Rio Branco,Brazil,South America,Brasília,I,Global prestige benchmark,Diplomacy,B,A,Also D004.
I016,Academia Diplomática de Chile Andrés Bello,Chile,South America,Santiago,I,Global prestige benchmark,Diplomacy,B,A,Also D003.
I017,China Foreign Affairs University,China,Asia,Beijing,I,Global prestige benchmark,Diplomacy and security,B,A,Also C001.
I018,NTU Wee Kim Wee School of Communication and Information,Singapore,Asia,Singapore,I,Global prestige benchmark,Communication and public relations,D,A,Also G009.
I019,Hong Kong Baptist University / Communication Studies,Hong Kong,Asia,Hong Kong,I,Global prestige benchmark,Media and PR studies,D,A,Also G010.
I020,University of Toronto / Munk School of Global Affairs,Canada,North America,Toronto,I,Global prestige benchmark,International relations and security,D,A,Global benchmark.
R001,UN Protocol and Liaison Service,United Nations,Global,New York / Geneva / UN system,R,Official protocol reference source,"Protocol guidance, diplomatic practice, liaison",A,Reference,Official reference source; not an academy to rank.
WPA001,World Protocol Academy,North Macedonia / Global,Europe / Global,Online / Skopje,WPA,Emerging specialized institute and analytics platform,"Protocol, diplomacy, public communication, security studies, communication skills",A,Emerging,"WPA should be treated transparently as emerging specialized institution, not self-ranked without independent review."
